# Recycle  
# format: Kuiki-No,YYYYMMDD YYYYMMDD YYYYMMDD .... 
#
1,20160627 20160725 20160822 20160919 
2,20160627 20160726 20160823 20160920 
3,20160629 20160727 20160824 20160921 
4,20160630 20160728 20160825 20160922 
5,20160701 20160729 20160826 20160923 
6,20160704 20160801 20160829 20160926 
7,20160705 20160802 20160830 20160927 
8,20160706 20160803 20160831 20160928 
9,20160707 20160804 20160901 20160929 
10,20160708 20160805 20160902 20160930
11,20160613 20160711 20160808 20160905
12,20160615 20160713 20160810 20160907
13,20160616 20160714 20160811 20160908
14,20160617 20160715 20160812 20160909
15,20160620 20160718 20160815 20160912
16,20160621 20160719 20160816 20160913
17,20160622 20160720 20160817 20160914
18,20160623 20160721 20160818 20160915
19,20160624 20160722 20160819 20160916
20,20160614 20160712 20160809 20160906
