地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,再生資源ゴミ
青垣町１〜３丁目,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
青野町,奈良市収集課,月 木,隔水20160413,金,20160622 20160720 20160817 20160914 20991231
青山１〜９丁目,奈良市収集課,月 木,隔水20160413,金,20160627 20160725 20160822 20160919 20991231
赤膚町,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
秋篠早月町,奈良市収集課,月 木,隔水20160413,金,20160613 20160711 20160808 20160905 20991231
秋篠三和町１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
秋篠新町,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
秋篠町,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
朝日町１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
阿字万字町（ならまち大通り南側）,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
阿字万字町（ならまち大通り北側）,奈良市清美公社,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
油坂地方町,奈良市清美公社,火 金,隔水20160406,木,20160615 20160713 20160810 20160907 20991231
油坂町（大宮通り南側）,奈良市清美公社,火 金,隔水20160406,木,20160615 20160713 20160810 20160907 20991231
油坂町（大宮通り北側）,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
尼辻北町（大宮通り南側）,奈良市収集課,火 金,隔水20160406,月, 20991231
尼辻北町（大宮通り北側）,奈良市収集課,月 木,隔水20160413,金, 20991231
尼辻町（国土２４号線の東側）,奈良市収集課,火 金,隔水20160406,木, 20991231
尼辻町（国土２４号線の西側）,奈良市収集課,火 金,隔水20160406,月,20160621 20160719 20160816 20160913 20991231
尼辻中町,奈良市収集課,火 金,隔水20160406,月, 20991231
尼辻西町,奈良市収集課,火 金,隔水20160406,月, 20991231
尼辻南町,奈良市収集課,火 金,隔水20160406,月, 20991231
あやめ池南１～９丁目,奈良市収集課,月 木,隔水20160413,火,20160622 20160720 20160817 20160914 20991231
あやめ池北１〜３丁目,奈良市収集課,月 木,隔水20160413,金,20160708 20160805 20160902 20160930 20991231
池田町,奈良市清美公社,火 金,隔水20160406,月,20160627 20160725 20160822 20160919 20991231
池之町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
石木町（富小川の東側）,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
石木町（富小川の西側）,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
井上町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
今市町,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
今小路町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
今在家町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
今辻子町,奈良市清美公社,火 金,隔水20160406,木,20160615 20160713 20160810 20160907 20991231
今御門町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
陰陽町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
右京３～５丁目,奈良市収集課,月 木,隔水20160413,火,20160629 20160727 20160824 20160921 20991231
歌姫町,奈良市収集課,月 木,隔水20160413,金,20160613 20160711 20160808 20160905 20991231
大渕町,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
大宮町１丁目（大宮通り南側）,奈良市収集課,火 金,隔水20160406,月,20160615 20160713 20160810 20160907 20991231
大宮町１丁目（大宮通り北側）,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
大宮町２～４丁目,奈良市収集課,火 金,隔水20160406,月,20160615 20160713 20160810 20160907 20991231
大宮町５・６丁目,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
大宮町１丁目（大宮通り南側）,奈良市収集課,火 金,隔水20160406,月,20160615 20160713 20160810 20160907 20991231
大宮町１丁目（大宮通り北側）,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
大森町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
大森西町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
大倭町,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
大和田町,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
小川町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
奥子守町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
奥芝町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
押上町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
押熊町,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
押小路町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
